レース馬番ID,レースID,レース日付,開催回数,競馬場コード,競馬場名,開催日数,競争条件,レース記号/[抽],レース記号/(馬齢),レース記号/牝,レース記号/(父),レース記号/(別定),レース記号/(混),レース記号/(ハンデ),レース記号/(抽),レース記号/(市),レース記号/(定量),レース記号/牡,レース記号/関東配布馬,レース記号/(指),レース記号/関西配布馬,レース記号/九州産馬,レース記号/見習騎手,レース記号/せん,レース記号/(国際),レース記号/[指],レース記号/(特指),レース番号,重賞回次,レース名,リステッド・重賞競走,障害区分,芝・ダート区分,芝・ダート区分2,右左回り・直線区分,内・外・襷区分,距離(m),天候,馬場状態1,馬場状態2,発走時刻,着順,着順注記,枠番,馬番,馬名,性別,馬齢,斤量,騎手,タイム,着差,1コーナー,2コーナー,3コーナー,4コーナー,上り,単勝,人気,馬体重,場体重増減,東西・外国・地方区分,調教師,馬主,賞金(万円)
19860602050705,198606020507,1986-03-08,2,6,中山,5,4歳新馬,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳新馬,,,芝,,右,外,1600,晴,良,,13:20,7.0,,4,5,カネアカツキ,牡,4,55.0,加賀武見,1:39.7,1.1/2,,4.0,11.0,11.0,37.4,78.7,11.0,476.0,0.0,東,阿部新生,金指利明,
19860602050706,198606020507,1986-03-08,2,6,中山,5,4歳新馬,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳新馬,,,芝,,右,外,1600,晴,良,,13:20,8.0,,4,6,ニシノファイブ,牝,4,53.0,田村正光,1:39.7,アタマ,,2.0,1.0,1.0,38.4,24.3,6.0,476.0,0.0,東,佐藤勝美,西山正行,
19860602050703,198606020507,1986-03-08,2,6,中山,5,4歳新馬,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳新馬,,,芝,,右,外,1600,晴,良,,13:20,9.0,,3,3,イグアス,牡,4,55.0,柴田政人,1:39.7,アタマ,,12.0,2.0,6.0,38.2,6.2,3.0,492.0,-4.0,東,久恒久夫,田中達子,
19860602050714,198606020507,1986-03-08,2,6,中山,5,4歳新馬,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳新馬,,,芝,,右,外,1600,晴,良,,13:20,10.0,,8,14,フランサーシロー,牡,4,53.0,原田俊彦,1:40.0,1.3/4,,7.0,8.0,9.0,38.0,209.2,14.0,438.0,-8.0,東,坂本栄三,西山正行,
19860602050702,198606020507,1986-03-08,2,6,中山,5,4歳新馬,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳新馬,,,芝,,右,外,1600,晴,良,,13:20,11.0,,2,2,ジムローズ,牝,4,52.0,大宮竜一,1:40.2,1.1/2,,8.0,11.0,13.0,37.9,86.6,12.0,432.0,-2.0,東,山岡浩久,小西良明,
19860602050704,198606020507,1986-03-08,2,6,中山,5,4歳新馬,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳新馬,,,芝,,右,外,1600,晴,良,,13:20,12.0,,3,4,サクラチョンリマ,牡,4,55.0,小島太,1:40.3,クビ,,8.0,8.0,9.0,38.3,35.3,7.0,484.0,0.0,東,田中和夫,さくらコマース,
19860602050711,198606020507,1986-03-08,2,6,中山,5,4歳新馬,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳新馬,,,芝,,右,外,1600,晴,良,,13:20,13.0,,7,11,スピードリバー,牡,4,55.0,細川英二,1:40.3,ハナ,,14.0,13.0,12.0,37.7,59.9,10.0,456.0,0.0,東,相川勝敏,市川幸助,
19860602050708,198606020507,1986-03-08,2,6,中山,5,4歳新馬,,(馬齢),,,,,,,,,,,,,,,,,,,7,,4歳新馬,,,芝,,右,外,1600,晴,良,,13:20,14.0,,5,8,コスモボーイ,牡,4,55.0,三浦繁美,1:50.0,大,,13.0,14.0,14.0,45.4,184.6,13.0,444.0,0.0,東,和田正道,和田正輔,
19860602050816,198606020508,1986-03-08,2,6,中山,5,4歳以上400万下,,(馬齢),牝,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,1.0,,8,16,チョウカイダンサー,牝,6,55.0,小島太,1:54.8,,14.0,14.0,5.0,5.0,39.0,9.9,5.0,448.0,0.0,東,境征勝,木倉誠,510.0
19860602050815,198606020508,1986-03-08,2,6,中山,5,4歳以上400万下,,(馬齢),牝,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,2.0,,8,15,ウイルヘルミナ,牝,5,54.0,田村正光,1:55.1,1.3/4,8.0,8.0,2.0,2.0,39.5,4.4,2.0,450.0,6.0,東,矢野照正,伊達秀和,200.0
19860602050804,198606020508,1986-03-08,2,6,中山,5,4歳以上400万下,,(馬齢),牝,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,3.0,,2,4,ロータリールビー,牝,6,55.0,田中清隆,1:55.3,1.1/4,1.0,1.0,2.0,2.0,39.7,16.6,9.0,440.0,2.0,東,今津福松,谷口好雄,130.0
19860602050813,198606020508,1986-03-08,2,6,中山,5,4歳以上400万下,,(馬齢),牝,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,4.0,,7,13,キンシャル,牝,7,54.0,郷原洋行,1:55.3,アタマ,2.0,2.0,1.0,1.0,39.7,7.0,4.0,448.0,0.0,東,大久保勝,神山幸男,77.0
19860602050802,198606020508,1986-03-08,2,6,中山,5,4歳以上400万下,,(馬齢),牝,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,5.0,,1,2,カシワクレンズ,牝,5,54.0,安田富男,1:55.3,クビ,12.0,11.0,9.0,7.0,39.3,105.9,16.0,418.0,-10.0,東,石毛善衛,柏倉譲,51.0
19860602050805,198606020508,1986-03-08,2,6,中山,5,4歳以上400万下,,(馬齢),牝,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,6.0,,3,5,プレトリア,牝,5,54.0,坂井千明,1:55.4,1/2,5.0,5.0,5.0,5.0,39.6,15.8,8.0,446.0,0.0,東,新関力,鳥海商事,
19860602050806,198606020508,1986-03-08,2,6,中山,5,4歳以上400万下,,(馬齢),牝,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,7.0,,3,6,アシカリビゼン,牝,5,54.0,畑中久光,1:55.4,アタマ,7.0,7.0,9.0,10.0,39.4,40.9,12.0,406.0,2.0,東,成宮明光,藤田正蔵,
